DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,
3/26/2008,WEST,466,391,367,181,160,172,190,172,161,94,83,96,105,90,86,87,86,83,72,50,42,61,92,132,
3/27/2008,WEST,154,101,90,165,226,320,306,394,540,570,520,497,483,507,536,560,618,639,667,658,635,647,657,651,
3/28/2008,WEST,652,646,630,591,560,525,490,390,372,333,262,269,242,252,222,230,216,202,185,200,216,251,281,301,
3/29/2008,WEST,251,216,216,213,168,188,233,322,312,235,258,369,351,379,432,438,478,511,542,571,587,629,637,648,
3/30/2008,WEST,603,583,499,488,457,485,378,352,322,267,197,151,145,123,113,118,151,321,220,197,178,214,247,317,
3/31/2008,WEST,335,332,449,542,544,593,552,459,417,455,489,560,505,496,619,661,674,572,335,602,630,655,667,675,
4/1/2008,WEST,704,699,691,702,679,638,647,610,642,649,661,691,672,672,662,601,496,397,336,226,156,154,154,130,
4/2/2008,WEST,121,103,97,104,81,43,35,53,69,54,36,79,113,123,153,172,164,150,142,144,163,208,331,400,
4/3/2008,WEST,453,481,585,561,439,395,379,376,344,284,176,182,232,299,284,270,317,427,478,436,379,339,491,592,
4/4/2008,WEST,560,553,569,588,509,432,392,348,323,253,279,380,435,431,310,263,184,147,109,80,79,111,156,225,
4/5/2008,WEST,261,281,312,347,328,303,270,263,184,118,41,55,81,67,76,91,113,116,119,123,170,214,311,449,
4/6/2008,WEST,495,518,561,622,591,523,407,310,247,176,113,236,325,326,348,385,486,487,486,424,498,516,488,530,
4/7/2008,WEST,523,529,445,411,401,393,485,442,381,380,387,370,386,415,468,507,462,325,240,185,134,73,71,142,
4/8/2008,WEST,136,93,161,194,263,290,314,253,191,272,339,251,223,338,437,360,248,275,462,573,544,588,558,603,
4/9/2008,WEST,648,684,673,594,470,370,332,299,233,170,50,21,15,15,14,3,1,8,31,28,181,290,216,350,
4/10/2008,WEST,420,471,497,600,635,667,665,662,665,608,635,676,685,641,570,653,675,679,667,522,523,698,705,702,
4/11/2008,WEST,637,526,519,553,591,631,634,638,640,644,658,677,673,694,669,677,676,668,679,738,736,699,702,711,
4/12/2008,WEST,713,699,677,686,674,655,642,582,563,570,602,579,566,566,547,553,542,538,534,474,448,380,394,446,
4/13/2008,WEST,402,379,393,359,422,418,455,392,390,412,419,393,326,323,341,370,275,340,319,299,164,202,148,111,
4/14/2008,WEST,120,88,92,110,121,162,242,247,196,99,52,15,22,30,29,31,27,28,26,16,12,20,17,18,
4/15/2008,WEST,28,51,79,107,142,137,162,218,262,201,309,502,556,568,585,613,628,634,639,655,659,661,659,654,
4/16/2008,WEST,644,645,636,643,654,655,650,641,622,638,639,640,636,635,635,646,644,599,514,623,621,602,623,603,
4/17/2008,WEST,579,573,587,595,567,531,463,438,381,267,183,112,132,61,173,326,396,438,438,387,375,348,401,506,
4/18/2008,WEST,508,575,513,430,425,459,475,498,500,514,541,518,511,520,579,535,510,488,454,283,222,344,157,167,
4/19/2008,WEST,133,140,95,73,95,125,145,117,77,47,31,21,44,45,65,69,28,47,65,53,101,174,111,119,
4/20/2008,WEST,134,165,173,174,205,184,133,91,49,82,62,57,62,42,51,89,40,12,12,8,19,19,56,127,
4/21/2008,WEST,196,243,258,212,239,264,269,225,175,138,165,240,262,304,318,311,281,301,332,339,303,337,401,438,
4/22/2008,WEST,476,517,500,541,554,529,580,552,511,405,317,191,216,63,82,88,46,99,105,83,31,31,39,84,
4/23/2008,WEST,139,184,281,325,354,353,356,379,398,456,436,353,233,171,135,151,176,189,206,194,201,272,339,415,
4/24/2008,WEST,550,540,540,601,619,613,632,641,618,573,566,612,605,545,460,304,320,366,491,606,616,579,533,507,
4/25/2008,WEST,485,576,629,620,564,451,514,589,589,627,640,634,631,646,648,652,654,639,640,574,612,534,582,639,
4/26/2008,WEST,638,648,639,669,664,639,598,510,591,599,565,595,593,630,649,666,673,634,557,467,376,276,257,356,
4/27/2008,WEST,376,303,367,378,243,166,124,80,56,38,73,62,59,51,54,28,52,64,97,113,110,129,110,104,
4/28/2008,WEST,78,143,169,137,154,166,257,359,354,348,297,206,216,330,375,522,571,580,568,530,565,540,457,460,
4/29/2008,WEST,425,381,340,282,232,221,252,229,149,114,74,65,66,75,79,88,89,94,80,74,81,77,108,128,
4/30/2008,WEST,166,219,305,348,363,411,480,523,472,454,468,528,541,549,542,548,570,509,478,463,431,499,558,571,
5/1/2008,WEST,567,554,549,501,482,493,520,503,444,438,504,489,432,455,485,520,553,598,608,574,587,587,587,513,
5/2/2008,WEST,516,507,520,518,496,459,574,593,591,648,619,549,223,231,625,669,670,672,635,641,646,609,513,485,
5/3/2008,WEST,499,547,578,591,603,612,619,619,626,648,658,657,650,659,658,675,631,590,576,510,349,339,396,349,
5/4/2008,WEST,376,407,421,409,351,228,134,69,39,46,51,80,103,122,127,130,147,202,235,234,205,258,317,356,
5/5/2008,WEST,441,446,420,405,401,415,396,373,267,170,186,143,172,225,246,257,305,255,198,130,73,42,24,11,
5/6/2008,WEST,6,29,113,127,257,236,262,265,156,91,20,46,89,155,252,344,459,549,519,554,551,562,636,648,
5/7/2008,WEST,573,497,476,421,506,507,479,437,418,390,409,369,341,284,241,218,127,81,84,76,78,120,184,253,
5/8/2008,WEST,243,483,577,553,535,499,584,607,616,599,646,661,613,579,624,603,557,552,501,413,336,315,382,436,
5/9/2008,WEST,368,279,254,258,221,163,141,63,62,39,52,63,106,122,125,111,172,137,145,197,176,140,97,70,
5/10/2008,WEST,65,46,32,50,83,96,73,138,115,73,101,85,69,84,130,224,389,399,397,501,516,476,528,620,
5/11/2008,WEST,608,705,724,717,618,321,397,375,424,617,738,714,500,465,477,633,713,697,697,672,652,538,521,501,
5/12/2008,WEST,475,446,436,424,413,326,311,284,153,90,33,9,10,9,11,13,31,40,52,56,83,154,246,340,
5/13/2008,WEST,474,502,458,498,515,581,628,627,585,614,632,619,657,667,647,641,593,507,481,275,193,358,454,394,
5/14/2008,WEST,500,556,504,439,398,278,262,244,214,288,279,337,326,322,280,202,165,122,106,95,33,27,62,109,
5/15/2008,WEST,121,174,220,237,270,346,406,365,169,153,138,92,97,126,142,137,136,97,69,39,37,35,61,63,
5/16/2008,WEST,43,62,83,131,146,88,63,112,174,86,74,104,113,162,179,236,313,369,466,479,483,552,654,714,
5/17/2008,WEST,714,752,720,709,686,583,522,499,474,410,394,389,488,473,477,487,448,417,288,159,280,449,431,621,
5/18/2008,WEST,547,481,322,123,78,122,241,409,391,503,537,515,500,464,412,393,418,416,446,430,301,165,89,63,
5/19/2008,WEST,50,47,56,62,57,74,72,96,110,106,86,122,177,217,200,173,150,160,129,115,53,97,117,138,
5/20/2008,WEST,156,88,104,93,86,53,30,43,33,22,68,113,183,273,319,321,357,358,394,373,275,274,324,371,
5/21/2008,WEST,389,382,373,353,312,349,374,189,121,99,85,96,122,170,220,250,214,204,207,204,165,132,122,124,
5/22/2008,WEST,124,107,138,161,166,166,214,280,242,161,159,152,132,123,133,112,110,122,227,395,478,484,433,356,
5/23/2008,WEST,278,247,413,557,457,494,481,406,301,247,243,108,50,242,288,124,86,309,461,439,413,418,403,427,
5/24/2008,WEST,425,431,390,420,444,348,291,259,217,194,166,210,172,117,109,109,147,268,337,347,232,162,197,317,
5/25/2008,WEST,430,382,426,465,518,505,489,502,485,509,491,464,453,294,167,157,241,352,402,415,400,439,443,424,
