DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
2/12/2008,RFC,287.218,332.661,305.579,289.211,313.966,273.944,290.751,287.541,297.835,249.726,207.378,201.524,208.59,190.659,217.916,290.28,370.295,462.469,495.243,536.528,528.716,450.073,422.378,444.455
2/13/2008,RFC,437.172,406.489,369.91,335.852,302.757,273.224,233.289,179.919,140.822,72.293,64.281,116.683,117.112,140.585,150.845,176.129,181.954,168.726,172.015,185.58,250.264,369.959,507.611,613.184
2/14/2008,RFC,705.388,704.601,744.653,725.837,716.656,729.409,731.555,768.91,774.432,713.074,630.324,576.1,605.942,619.315,566.515,454.184,382.005,312.801,273.34,250.684,274.889,377.235,433.972,511.035
2/15/2008,RFC,718.287,714.264,705.429,721.518,687.887,642.566,526.207,536.829,519.966,476.073,401.038,348.425,339.453,328.012,305.893,292.898,239.453,218.816,213.724,188.213,180.108,149.875,143.363,149.633
2/16/2008,RFC,128.73,113.375,89.08,96.505,73.859,60.014,94.13,109.875,121.782,98.159,64.861,86.187,110.922,119.435,152.763,192.288,254.71,244.706,232.03,332.469,439.841,528.012,545.16,595.715
2/17/2008,RFC,663.555,711.009,716.029,757.871,773.846,824.664,850.888,859.44,872.328,701.558,830.423,877.654,839.019,698.821,638.164,708.025,796.071,879.131,866.876,860.33,866.11,857.975,832.551,769.219
2/18/2008,RFC,733.763,712.555,682.147,718.359,721.933,756.835,750.29,786.455,770.634,766.507,742.424,754.297,813.635,812.503,843.821,837.718,806.333,780.67,744.672,751.543,781.749,781.043,760.075,769.741
2/19/2008,RFC,750.858,741.097,727.903,723.885,682.433,672.47,638.329,609.94,568.669,567.402,580.419,586.833,611.227,600.557,602.915,592.541,589.148,467.465,390.293,262.923,210.314,177.515,189.921,162.894
2/20/2008,RFC,166.155,197.749,218.561,340.015,484.922,619.637,610.029,615.912,590.922,543.306,490.518,408.952,380.57,335.902,324.661,296.807,269.064,263.937,211.832,223.521,242.897,289.633,300.573,298.597
2/21/2008,RFC,272.064,202.836,172.62,191.977,236.754,324.013,305.65,214.221,193.623,201.375,249.655,250.921,281.037,207.163,133.177,137.016,169.594,235.471,271.703,280.593,276.427,264.97,289.141,232.788
2/22/2008,RFC,209.673,152.387,123.642,133.194,154.235,175.205,182.467,203.733,260.033,316.757,232.651,163.035,112.13,133.427,78.914,57.427,41.952,76.588,139.225,141.64,157.92,167.503,112.095,96.198
2/23/2008,RFC,46.172,42.925,42.131,44.737,43.642,45.271,44.077,34.121,25.744,8.735,1.406,4.184,8.012,13.907,15.042,21.322,30.173,30.654,43.019,63.055,60.031,65.428,64.688,58.692
2/24/2008,RFC,60.762,64.918,93.372,143.067,126.731,83.091,66.398,74.322,76.888,62.455,35.883,26.147,24.172,34.794,64.955,75.949,89.971,83.808,131.942,193.724,323.244,423.855,496.833,478.831
2/25/2008,RFC,446.969,445.599,488.471,421.865,387.471,324.32,270.229,266.439,223.651,241.719,179.563,116.529,46.61,157.582,163.491,202.252,247.754,329.497,377.773,195.87,52.431,103.741,110.322,130.994
2/26/2008,RFC,179.462,192.532,393.812,460.935,569.834,619.728,697.737,738.463,779.131,749.134,710.969,773.449,747.383,722.074,777.882,794.452,794.526,788.827,740.214,676.104,635.461,601.61,561.439,558.532
2/27/2008,RFC,516.533,447.411,453.591,514.638,518.561,495.561,529.13,561.302,522.07,438.768,335.952,309.19,364.968,475.314,546.919,537.344,500.048,450.914,424.346,438.755,438.38,411.409,486.424,471.626
2/28/2008,RFC,405.984,347.655,291.762,239.316,197.892,182.11,193.478,184.221,167.499,180.975,205.441,231.225,231.696,265.253,321.969,302.415,300.544,279.582,272.893,380.824,476.025,565.908,637.998,667.663
2/29/2008,RFC,671.375,622.125,607.965,562.077,477.301,458.981,411.008,449.385,467.497,466.846,472.408,504.652,600.898,649.822,690.032,779.579,823.911,840.802,842.152,819.915,813.256,812.345,786.342,777.605
3/1/2008,RFC,800.392,804.939,684.807,602.918,511.351,421.316,331.267,264.841,224.009,211.147,214.415,214.691,216.358,237.98,275.563,394.376,572.736,710.62,748.24,832.811,863.264,870.702,865.462,824.018
3/2/2008,RFC,825.257,823.391,802.946,764.434,754.607,730.043,716.256,710.591,682.559,645.219,605.784,579.361,575.163,584.518,628.676,624.023,613.238,641.224,543.336,540.018,563.788,601.016,612.405,542.891
3/3/2008,RFC,390.691,351.352,388.51,517.701,595.655,592.191,448.366,359.077,336.691,461.624,393.175,355.806,385.411,398.217,405.79,425.592,425.366,440.519,474.53,523.467,573.745,515.22,484.794,482.168
3/4/2008,RFC,457.741,422.222,484.462,543.541,543.254,475.367,480.545,436.444,406.037,443.168,465.954,503.727,556.961,563.137,566.575,558.267,576.727,557.503,580.442,558.694,516.433,468.588,440.008,356.293
3/5/2008,RFC,293.744,332.162,336.339,294.467,288.138,210.979,207.187,226.021,253.828,243.229,260.438,283.693,281.771,295.571,277.489,230.22,200.458,163.636,142.271,185.261,218.522,231.369,219.891,255.134
3/6/2008,RFC,299.574,342.951,387.122,379.684,387.167,346.215,294.441,171.445,136.186,186.326,171.832,95.953,51.203,41.522,46.026,23.475,12.397,10.933,40.463,80.268,69.103,80.976,134.504,128.338
3/7/2008,RFC,149.175,142.178,197.085,299.371,432.948,511.77,558.032,638.032,639,675.026,709.061,641.149,664.549,680.128,654.671,693.342,680.86,677.965,619.56,561.867,600.987,606.864,539.153,468.581
3/8/2008,RFC,441.476,430.733,486.308,503.08,500.514,501.136,476.555,494.99,449.282,380.603,344.88,315.3,282.267,287.555,331.407,299.783,223.79,150.454,184.481,198.694,206.148,227.032,227.629,224.859
