DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,,,
3/26/2009,WEST,123,121,148,168,165,172,157,256,170,72,63,84,94,146,151,169,187,229,209,174,138,114,145,147,,,
3/27/2009,WEST,120,263,282,276,322,395,393,406,397,431,477,445,366,312,319,410,349,347,430,570,632,715,770,781,,,
3/28/2009,WEST,852,941,969,949,892,830,884,863,952,1067,1073,1112,1051,1034,1095,1225,1166,1268,1271,1218,1172,1209,1224,1224,,,
3/29/2009,WEST,1154,940,916,705,756,736,757,777,776,885,1056,1162,1151,1196,1309,1328,1275,1263,1190,1011,878,892,855,775,,,
3/30/2009,WEST,605,519,451,326,257,195,140,154,197,186,207,335,444,499,528,583,774,900,1025,1088,1147,1154,1217,1197,,,
3/31/2009,WEST,1157,1068,989,1000,926,903,955,1062,1109,1159,1126,1130,1148,1164,1188,1164,1183,1284,1345,1350,1266,1255,1234,1094,,,
4/1/2009,WEST,992,1061,1151,1171,1130,1245,1310,1202,1209,1248,1262,1173,1163,1161,1138,1109,1106,1004,769,506,372,446,354,431,,,
4/2/2009,WEST,308,117,94,162,245,388,557,779,738,747,686,586,610,410,345,416,707,789,906,1176,1290,1257,1337,1339,,,
4/3/2009,WEST,1295,1272,1383,1369,1337,1307,1304,1313,1228,1224,1165,1114,1136,1194,1153,978,1006,876,824,635,447,452,479,489,,,
4/4/2009,WEST,474,458,401,343,357,352,310,283,301,222,198,222,218,225,251,246,322,502,752,954,1022,1145,1216,1072,,,
4/5/2009,WEST,995,1033,1060,1072,1002,1061,975,899,974,905,853,790,721,604,686,640,806,826,1083,1128,1056,1283,1335,1297,,,
4/6/2009,WEST,1189,1209,1183,1175,1274,1297,1270,1236,1195,1282,1226,1177,1151,1203,1200,1232,1090,973,955,857,717,751,711,886,,,
4/7/2009,WEST,977,991,944,904,852,852,896,1058,1059,1039,1071,1167,1298,1282,1300,1309,1324,1352,1303,1133,955,975,1059,1074,,,
4/8/2009,WEST,1063,995,883,782,666,590,517,447,342,269,232,267,386,507,551,620,701,751,702,516,366,404,398,401,,,
4/9/2009,WEST,361,415,466,473,383,247,128,80,51,46,77,84,66,59,55,77,86,92,71,43,45,115,174,294,,,
4/10/2009,WEST,558,671,753,796,904,1006,1046,1060,1075,982,908,1032,1091,1175,1197,1192,1158,1158,1100,949,889,877,837,839,,,
4/11/2009,WEST,775,657,636,577,530,506,558,645,646,379,307,332,370,422,417,382,401,393,435,549,722,889,890,792,,,
4/12/2009,WEST,668,636,620,549,607,654,648,578,456,343,312,467,704,702,811,869,934,912,864,929,1114,1202,1179,1105,,,
4/13/2009,WEST,1062,1039,1060,1030,1028,1065,1139,1182,1190,1182,1158,1135,1111,1051,943,766,627,492,395,347,307,251,240,224,,,
4/14/2009,WEST,224,229,188,222,248,284,290,363,386,413,453,439,477,554,679,704,586,462,426,360,211,226,274,279,,,
4/15/2009,WEST,294,306,313,403,374,410,403,480,461,335,357,408,386,408,413,446,474,449,456,294,237,231,211,176,,,
4/16/2009,WEST,150,168,208,215,210,234,279,259,215,119,32,54,89,157,207,196,194,216,273,305,368,500,568,552,,,
4/17/2009,WEST,479,501,519,472,418,388,356,332,350,231,106,102,81,66,90,116,129,124,118,101,133,185,212,280,,,
4/18/2009,WEST,326,374,349,304,286,239,295,292,270,245,182,138,115,126,124,124,140,154,157,141,145,153,216,194,,,
4/19/2009,WEST,119,47,48,68,93,154,98,137,220,205,188,175,169,152,132,107,121,200,335,397,613,777,763,857,,,
4/20/2009,WEST,947,973,952,1029,1043,1114,1156,1165,1190,1221,1183,1172,1167,1142,1146,1149,1071,1080,1092,1161,1007,956,1049,995,,,
4/21/2009,WEST,988,992,933,839,834,864,805,746,867,1000,1092,1164,1242,1264,1225,1220,1331,1106,973,845,587,501,471,385,,,
4/22/2009,WEST,527,461,574,665,762,744,750,921,907,735,699,732,901,1103,1237,1254,1221,1220,1094,750,473,349,369,422,,,
4/23/2009,WEST,523,682,753,783,820,890,1031,1085,1070,1017,1073,1142,1151,1139,1153,1073,1091,1121,1169,1233,1122,1074,1075,1083,,,
4/24/2009,WEST,1006,938,888,835,789,775,818,908,978,1032,1127,1168,1204,1104,1247,1278,1277,1282,1255,1244,1180,1243,1270,1312,,,
4/25/2009,WEST,1311,1257,1308,1277,1251,1278,1306,1309,1307,1239,1237,1328,1339,1242,1118,974,918,845,785,775,778,804,876,922,,,
4/26/2009,WEST,882,845,841,645,522,500,612,599,641,828,930,1021,1097,1074,1111,1089,1049,1074,1075,1069,1061,1035,1032,1129,,,
4/27/2009,WEST,1183,1205,1217,1250,1257,1225,1144,1197,1230,1118,742,703,845,860,868,659,474,738,757,766,739,635,539,613,,,
4/28/2009,WEST,412,159,285,297,426,575,678,1015,1116,1040,854,637,474,391,401,413,400,413,447,560,572,569,465,403,,,
4/29/2009,WEST,354,308,323,316,282,265,282,308,290,260,217,191,152,135,117,151,164,203,301,392,419,545,593,686,,,
4/30/2009,WEST,689,646,624,602,492,488,634,823,828,816,768,826,996,1032,1051,982,853,738,607,360,261,269,353,446,,,
5/1/2009,WEST,404,597,642,628,566,567,543,521,581,581,507,450,465,466,487,428,390,327,439,489,447,296,220,246,,,
5/2/2009,WEST,286,234,250,310,253,243,293,271,215,107,101,136,182,213,258,271,298,289,229,159,75,43,35,38,,,
5/3/2009,WEST,54,55,62,68,75,109,122,143,113,62,51,104,77,37,33,30,22,27,31,30,25,27,16,28,,,
5/4/2009,WEST,43,70,75,85,102,99,84,84,79,92,98,72,63,47,37,43,29,42,47,41,59,108,122,254,,,
5/5/2009,WEST,371,420,344,388,323,284,223,158,113,68,47,23,19,18,23,43,39,46,87,88,79,143,204,241,,,
5/6/2009,WEST,264,337,406,357,309,287,235,164,107,61,24,22,87,180,162,314,296,278,256,293,255,235,334,414,,,
5/7/2009,WEST,492,332,207,227,307,404,459,453,390,316,226,231,279,320,332,363,497,277,317,221,75,151,262,167,,,
5/8/2009,WEST,144,116,162,305,321,286,177,130,27,11,5,8,6,87,175,8,3,7,16,37,140,320,507,701,,,
5/9/2009,WEST,849,956,1065,1178,1194,1240,1233,1179,1118,1130,1157,1123,985,867,805,802,865,909,929,925,807,635,715,692,,,
5/10/2009,WEST,603,510,519,373,186,173,137,109,97,111,158,272,423,589,735,792,796,775,621,496,308,200,315,372,,,
5/11/2009,WEST,283,158,126,92,82,79,56,56,11,6,19,21,37,34,27,28,27,47,18,19,45,81,193,225,,,
5/12/2009,WEST,241,331,457,502,517,539,620,603,421,338,414,413,399,436,520,592,692,865,982,957,831,847,870,887,,,
5/13/2009,WEST,921,802,908,1038,1010,1078,1146,1131,952,928,760,812,817,859,942,1008,1065,1078,1128,1241,1287,1293,1269,1228,,,
5/14/2009,WEST,1145,1094,1020,922,797,823,841,787,691,665,611,508,631,733,650,617,493,325,160,33,17,11,7,6,,,
5/15/2009,WEST,28,108,139,160,209,123,84,167,441,540,594,598,664,646,676,556,475,476,377,382,611,726,346,206,,,
5/16/2009,WEST,278,260,246,312,330,386,588,697,923,996,1130,1157,1143,1171,1208,1210,1270,1347,1289,1082,762,601,646,664,,,
5/17/2009,WEST,697,647,579,523,450,376,306,290,231,181,263,242,207,188,191,206,208,200,163,141,141,115,134,150,,,
5/18/2009,WEST,138,340,342,279,272,300,322,327,265,226,281,321,398,468,503,496,517,559,571,513,435,538,613,668,,,
5/19/2009,WEST,792,794,809,848,888,939,902,863,742,673,725,664,580,604,627,622,634,633,604,598,548,701,827,952,,,
