Week Ended,"Central Appalachia 12,500 Btu, 1.2 SO2","Northern Apppalachia 13,000 Btu, <3.0 SO2","Illinois Basin 11,800 Btu, 5.0 SO2","Powder River Basin 8,800 Btu, 0.8 SO2","Uinta Basin 11,700 Btu, 0.8 SO2"
2015-02-20,53.06,61.15,40.32,11.55,38.13
2015-02-13,53.06,63.15,42.32,11.55,38.13
2015-02-06,53.06,63.15,45.32,11.55,38.13
2015-01-30,53.06,63.15,45.32,11.55,38.13
2015-01-23,53.06,63.15,45.32,11.55,38.13
2015-01-16,53.06,63.15,45.32,11.55,38.13
2015-01-09,53.06,63.15,45.32,11.55,38.13
2015-01-02,55.92,66.55,45.7,12.1,38.2
2014-12-19,56.1,65.3,44.55,11.55,37.75
2014-12-12,56.1,65.3,44.55,11.55,37.75
2014-12-05,56.3,63.55,44.7,11.55,37.75
2014-11-28,56.1,65.3,44.55,11.55,37.75
2014-11-21,56.1,65.3,44.55,11.55,37.75
2014-11-14,56.3,63.55,44.7,11.55,37.75
2014-11-07,56.3,63.55,44.7,11.55,37.75
2014-10-31,56.3,65.55,44.7,11.55,37.75
2014-10-24,56.3,65.55,44.7,11.55,37.75
2014-10-17,56.3,65.55,44.7,11.55,37.75
2014-10-10,56.3,65.55,44.7,11.55,37.75
2014-10-03,56.3,66.55,44.7,11.55,37.75
2014-09-26,54.59,63.3,43.4,11.25,37.0
2014-09-19,54.59,63.3,43.4,11.25,37.0
2014-09-12,56.35,62.75,44.0,11.55,36.45
2014-09-05,56.35,62.75,44.0,11.55,36.45
2014-08-29,56.35,62.75,44.0,11.55,36.45
2014-08-22,56.35,62.75,44.0,11.55,36.45
2014-08-15,57.25,63.7,44.0,12.25,36.45
2014-08-08,56.35,62.75,44.0,11.55,36.45
2014-08-01,57.25,63.7,44.0,12.25,36.45
2014-07-25,57.25,63.7,44.0,12.25,36.45
2014-07-18,59.15,64.6,44.5,12.5,36.45
2014-07-11,59.15,64.6,44.5,12.5,36.45
2014-07-04,60.05,64.5,45.45,12.55,36.75
2014-06-27,60.05,64.5,45.45,12.55,36.75
2014-06-20,60.7,65.15,46.0,13.0,36.75
2014-06-13,60.7,65.15,46.0,13.0,36.75
2014-06-06,60.7,65.5,46.0,13.0,36.75
2014-05-30,60.7,65.5,46.0,13.0,36.75
2014-05-23,62.17,68.17,46.02,13.02,36.73
2014-05-16,62.17,68.17,46.02,13.02,36.73
2014-05-09,60.58,68.17,46.02,13.02,36.73
2014-05-02,60.58,68.17,46.02,13.02,36.73
2014-04-25,60.58,68.17,46.02,13.02,36.73
2014-04-18,60.58,68.97,47.52,13.02,36.73
2014-04-11,60.58,68.97,47.52,13.02,36.73
2014-04-04,59.86,68.15,46.96,12.85,36.25
2014-03-28,59.06,67.9,47.06,12.65,36.25
2014-03-21,59.06,67.9,47.06,12.65,36.25
2014-03-14,60.06,68.65,46.65,12.5,36.0
2014-03-07,60.06,68.65,46.65,12.5,36.0
2014-02-28,63.0,68.65,46.65,12.5,36.0
2014-02-21,63.0,68.65,46.65,12.5,36.0
2014-02-14,63.0,68.65,46.65,12.5,36.0
2014-02-07,62.18,68.5,46.4,12.35,36.0
2014-01-31,62.18,68.5,46.4,12.35,36.0
2014-01-24,62.18,68.5,46.4,12.35,36.0
2014-01-17,64.52,68.5,46.4,12.07,36.0
2014-01-10,64.52,68.5,46.4,12.07,36.0
2014-01-03,64.52,68.5,46.4,12.07,36.0
2013-12-20,63.58,68.0,46.15,11.5,35.95
2013-12-13,63.58,68.0,46.15,11.5,35.95
2013-12-06,62.58,68.0,46.15,11.0,35.95
2013-11-29,62.58,68.0,46.15,11.0,35.95
2013-11-22,62.58,68.0,46.15,11.0,35.95
2013-11-15,62.58,69.5,46.15,11.0,35.95
2013-11-08,64.58,69.5,46.15,11.0,35.95
2013-11-01,64.58,69.5,46.15,11.0,35.95
2013-10-25,64.58,68.5,46.15,11.0,35.95
2013-10-18,64.58,68.5,46.15,10.57,35.95
2013-10-11,64.58,68.5,46.15,10.57,35.95
2013-10-04,65.1,68.5,46.15,10.6,35.95
2013-09-27,60.15,68.5,45.65,10.3,35.85
2013-09-20,60.15,68.5,45.65,10.3,35.85
2013-09-13,60.15,68.5,45.65,10.3,35.85
2013-09-06,60.15,68.5,45.65,10.3,35.85
2013-08-30,63.15,68.5,45.65,10.3,35.85
2013-08-23,63.15,68.5,45.65,10.3,35.85
2013-08-16,63.15,68.5,45.65,10.3,35.85
2013-08-06,60.15,68.5,45.65,10.3,35.85
2013-07-30,63.15,68.5,45.65,10.3,35.85
2013-07-23,63.15,68.5,45.65,10.3,35.85
2013-07-16,63.15,68.5,45.65,10.3,35.85
2013-07-09,66.15,68.5,45.65,10.3,35.85
2013-07-02,66.15,68.25,45.4,10.3,35.85
2013-06-26,66.15,68.25,45.4,10.3,35.85
2013-06-19,66.15,68.25,45.4,10.3,35.85
2013-06-12,67.15,68.25,45.4,10.85,35.85
2013-05-28,66.27,66.25,45.4,10.55,35.85
2013-05-21,67.27,66.0,45.15,10.55,35.85
2013-05-14,67.27,66.0,45.15,10.55,35.85
2013-05-07,67.27,66.0,45.15,10.55,35.85
2013-05-01,67.27,66.0,45.15,10.55,35.85
2013-04-24,67.27,66.0,45.15,10.55,35.85
2013-04-17,67.27,66.0,45.15,10.55,35.85
2013-04-10,67.27,65.0,45.15,10.55,35.85
2013-04-03,67.27,65.0,45.15,10.55,35.85
2013-03-26,67.27,64.1,45.15,10.55,35.85
2013-03-19,67.27,64.1,45.15,10.55,35.85
2013-03-12,67.27,64.1,45.15,10.55,35.85
2013-03-05,67.27,64.1,45.15,10.55,35.85
2013-03-01,64.96,62.1,45.15,10.08,35.85
2013-02-22,64.96,62.1,45.15,10.25,35.85
2013-02-15,64.96,62.1,45.15,10.25,35.85
2013-02-08,64.96,62.1,45.15,10.25,35.85
2013-02-01,64.96,62.1,45.15,10.25,35.85
2013-01-22,66.5,62.1,45.15,10.25,35.85
2013-01-15,66.5,62.1,47.9,10.25,35.85
2013-01-08,66.5,62.1,47.9,10.15,35.85
2013-01-01,66.5,62.1,47.9,10.15,35.85
2012-12-25,68.05,62.1,47.9,10.15,35.85
2012-12-18,68.05,62.1,47.9,10.15,35.85
2012-12-11,68.05,62.1,47.9,10.45,35.85
2012-12-04,68.05,63.1,47.9,10.45,35.85
2012-11-28,68.15,63.0,47.9,10.0,35.75
2012-11-21,68.15,63.0,47.9,10.0,35.75
2012-11-14,68.15,64.5,47.9,10.0,35.75
2012-11-07,68.15,64.5,47.9,10.0,35.75
2012-10-30,68.15,64.5,47.9,10.0,35.75
2012-10-23,68.15,64.5,47.9,10.0,35.75
2012-10-16,68.15,64.5,47.9,10.35,35.75
2012-10-09,65.95,64.5,47.9,10.35,35.75
2012-10-02,65.95,64.5,47.9,10.35,35.75
2012-09-26,65.95,64.25,47.9,10.25,35.75
2012-09-19,65.95,64.25,47.9,10.25,35.75
2012-09-12,65.95,64.25,47.9,10.25,35.75
2012-09-05,65.95,64.25,47.9,10.25,35.75
2012-08-28,63.85,64.1,47.75,9.2,35.6
2012-08-21,63.85,64.1,47.75,9.2,35.6
2012-08-14,63.85,65.1,47.75,9.2,35.6
2012-08-07,63.85,65.1,47.75,9.4,35.6
2012-07-31,63.1,65.1,47.75,9.4,35.6
2012-07-24,63.1,65.1,47.75,9.4,35.6
2012-07-17,63.1,65.1,47.75,8.5,35.6
2012-07-10,59.9,65.1,47.75,8.5,35.6
2012-07-03,61.5,65.1,46.0,8.5,35.6
2012-06-27,61.5,65.1,47.75,8.5,35.6
2012-06-20,59.9,65.1,47.75,8.5,35.6
2012-06-13,59.9,65.1,47.75,8.75,35.6
2012-06-06,56.1,64.9,46.5,8.5,35.5
2012-05-29,56.1,64.9,46.5,8.5,35.5
2012-05-22,56.1,64.4,46.5,8.5,35.5
2012-05-15,56.1,64.4,46.5,9.15,35.5
2012-05-08,57.7,64.4,46.5,9.15,35.5
2012-05-01,57.7,64.4,46.5,9.15,35.5
2012-04-25,60.9,64.4,46.5,9.15,35.5
2012-04-18,60.9,64.4,48.5,9.15,35.5
2012-04-11,60.9,64.4,48.5,9.15,35.5
2012-04-04,60.9,64.4,48.5,9.15,35.5
2012-03-27,60.9,64.4,49.5,8.95,35.5
2012-03-20,60.9,66.4,49.5,8.95,35.5
2012-03-13,63.1,66.4,51.5,8.95,35.5
2012-03-06,63.1,66.4,51.5,10.0,35.5
2012-03-01,61.4,66.05,52.0,8.9,35.5
2012-02-23,65.85,66.05,52.0,8.9,35.5
2012-02-16,65.85,66.05,52.0,10.5,40.55
2012-02-09,65.85,70.05,52.0,11.5,40.55
2012-02-02,65.85,70.05,52.0,11.4,40.55
2012-01-24,68.9,70.05,52.0,11.4,40.55
2012-01-17,70.9,70.05,54.25,11.4,40.55
2012-01-10,70.9,70.05,55.25,11.4,40.55
2012-01-03,72.9,71.05,55.25,11.9,40.55
2011-12-27,72.9,71.05,55.25,11.9,40.55
2011-12-20,72.9,71.05,55.25,11.9,40.55
2011-12-13,75.9,73.05,55.25,12.9,40.55
2011-12-06,75.9,73.05,55.25,12.9,40.55
2011-11-30,75.65,74.8,55.0,12.9,40.55
2011-11-23,76.65,76.8,55.0,12.9,40.55
2011-11-16,76.65,76.8,55.0,12.9,40.55
2011-11-09,77.65,76.8,55.0,12.7,40.55
2011-11-02,77.65,76.8,55.0,12.7,40.55
2011-10-25,79.65,76.8,55.0,13.2,40.55
2011-10-18,79.65,76.8,55.0,13.2,40.55
2011-10-11,80.65,77.1,55.0,13.2,40.55
2011-10-04,80.65,77.1,55.0,14.8,40.55
2011-09-28,80.65,77.1,55.0,14.8,40.55
2011-09-21,80.65,77.1,55.0,14.8,40.55
2011-09-14,81.65,77.1,55.0,14.9,40.55
2011-09-07,81.65,77.1,55.0,14.9,40.55
2011-08-30,80.2,76.1,54.5,14.55,40.55
2011-08-23,80.2,76.1,52.5,14.55,40.55
2011-08-16,80.2,76.1,52.5,14.55,40.55
2011-08-09,80.7,77.1,52.5,14.55,39.55
2011-08-02,80.7,77.1,52.5,14.55,39.55
2011-07-26,80.7,78.1,52.5,14.55,39.55
2011-07-19,80.7,78.1,52.5,14.55,39.55
2011-07-12,79.7,78.1,52.5,14.55,39.55
2011-07-05,79.7,78.1,52.5,14.55,39.55
2011-06-29,79.7,78.1,52.5,14.55,39.55
2011-06-22,79.2,78.1,52.5,14.55,39.55
2011-06-15,79.2,78.1,52.5,13.85,39.55
2011-06-08,79.2,78.1,52.5,13.35,39.55
2011-06-01,78.2,78.1,52.5,13.35,39.55
2011-05-24,77.75,78.0,52.35,13.2,39.45
2011-05-17,77.75,78.0,57.35,13.2,39.45
2011-05-10,77.75,78.0,57.35,13.2,39.45
2011-05-03,78.75,78.0,55.35,13.4,39.45
2011-04-27,78.75,78.0,50.35,13.4,39.45
2011-04-20,78.75,78.0,50.35,13.4,39.45
2011-04-13,78.75,78.0,50.35,13.4,39.45
2011-04-06,78.75,78.0,50.35,13.4,39.45
2011-03-29,78.75,76.0,50.35,13.7,39.45
2011-03-15,78.75,76.0,50.35,13.7,39.45
2011-03-08,78.75,76.0,50.35,13.7,39.45
2011-03-01,76.75,76.0,50.35,13.7,39.45
2011-02-25,78.5,74.75,50.25,13.8,38.45
2011-02-18,77.5,74.75,50.25,13.9,38.45
2011-02-11,77.5,74.75,50.25,13.9,38.45
2011-02-04,77.5,74.75,50.25,14.1,38.45
2011-01-25,77.5,74.75,47.15,14.1,38.45
2011-01-18,76.5,74.6,47.15,14.6,38.45
2011-01-11,76.5,74.6,47.15,14.6,38.45
2011-01-04,76.5,74.6,47.15,13.5,38.45
2010-12-28,76.5,74.6,47.15,13.5,38.45
2010-12-21,76.5,74.6,47.15,13.5,38.45
2010-12-14,76.5,71.6,47.15,13.5,38.45
2010-12-07,74.5,71.6,47.15,13.5,38.45
2010-12-01,74.5,71.6,47.15,13.5,38.45
2010-11-24,72.1,69.85,47.15,13.5,41.45
2010-11-17,72.1,69.85,47.15,13.5,41.45
2010-11-10,72.4,69.85,47.15,13.65,41.45
2010-11-03,72.4,69.85,47.15,13.65,41.45
2010-10-26,72.4,69.85,47.15,13.65,41.45
2010-10-19,72.4,69.85,47.15,13.65,41.45
2010-10-12,72.4,69.85,47.15,13.65,41.45
2010-10-05,72.4,69.85,47.15,13.65,41.45
2010-09-29,72.4,69.85,47.15,14.15,41.45
2010-09-22,72.5,69.85,47.15,14.15,41.45
2010-09-15,72.25,69.85,47.15,14.4,41.45
2010-09-08,72.25,69.85,47.15,14.4,41.45
2010-09-01,72.25,69.85,46.65,14.4,40.45
2010-08-24,70.25,69.6,46.6,14.3,40.45
2010-08-17,70.25,69.6,46.6,14.3,40.45
2010-08-10,70.25,67.6,46.6,14.3,40.45
2010-08-03,70.25,65.6,46.6,13.8,40.45
2010-07-27,70.25,62.6,46.6,14.8,40.45
2010-07-20,70.25,62.9,46.6,14.3,40.25
2010-07-13,70.25,62.9,46.6,14.3,40.25
2010-07-06,70.25,62.9,46.6,13.8,40.25
2010-06-30,70.25,62.9,46.6,13.8,40.25
2010-06-23,70.25,62.9,46.6,13.05,40.25
2010-06-16,70.25,62.9,46.6,13.05,40.25
2010-06-09,69.25,62.9,46.6,12.95,40.25
2010-05-25,64.6,59.7,46.5,11.9,40.2
2010-05-18,64.6,60.8,46.5,11.8,40.2
2010-05-11,64.6,60.8,46.5,11.8,40.2
2010-05-04,64.6,60.8,46.5,11.8,40.2
2010-04-28,64.6,60.8,46.5,11.8,40.2
2010-04-21,64.1,60.8,46.5,12.2,40.2
2010-04-14,62.1,59.8,46.5,12.45,40.2
2010-04-07,61.1,59.8,46.5,12.45,40.2
2010-03-30,61.1,62.8,47.75,12.45,40.2
2010-03-23,61.35,62.8,47.75,12.35,40.2
2010-03-16,61.35,62.8,47.75,12.35,40.2
2010-03-09,61.35,62.8,47.75,12.35,40.2
2010-03-01,62.35,65.3,47.75,12.35,40.2
2010-02-26,57.35,63.55,46.0,12.1,40.2
2010-02-19,57.35,63.55,46.0,11.85,40.2
2010-02-12,58.35,63.55,46.0,12.65,40.2
2010-02-05,58.35,63.55,46.0,11.65,40.2
2010-01-26,58.35,59.55,46.0,10.9,40.2
2010-01-19,58.35,57.55,46.0,10.9,40.2
2010-01-12,57.35,57.55,46.0,10.7,40.2
2010-01-05,57.35,57.55,46.0,10.7,40.2
2009-12-29,57.35,56.55,46.0,10.2,40.2
2009-12-22,57.35,56.55,46.0,9.5,40.2
2009-12-15,57.35,56.55,46.0,9.5,40.2
2009-12-08,56.35,56.55,46.0,9.0,40.2
2009-12-01,54.1,50.55,40.5,8.35,40.15
2009-11-18,54.1,50.55,40.5,8.35,40.15
2009-11-11,53.75,51.5,40.5,8.25,39.65
2009-11-04,53.75,51.5,40.5,8.25,39.65
2009-10-27,54.75,52.5,41.5,8.25,39.65
2009-10-20,56.25,52.5,41.5,9.25,39.65
2009-10-13,56.25,51.0,41.5,9.25,39.65
2009-10-06,57.25,51.5,43.5,9.25,39.65
2009-09-30,57.25,51.5,43.5,9.25,39.65
2009-09-23,57.25,52.5,43.5,9.25,39.65
2009-09-16,57.25,52.5,43.5,9.25,39.65
2009-09-09,57.25,52.5,43.5,9.25,39.65
2009-09-02,57.25,54.5,46.5,8.95,39.65
2009-08-25,52.5,50.0,46.0,8.8,41.5
2009-08-18,52.5,50.0,46.0,8.8,44.5
2009-08-11,52.5,50.0,46.0,8.8,44.5
2009-08-04,52.5,50.0,46.0,8.8,44.5
2009-07-28,53.5,52.0,46.0,9.0,44.5
2009-07-21,53.5,52.0,46.0,9.0,44.5
2009-07-14,53.5,52.0,44.0,9.0,44.5
2009-07-07,53.5,52.0,44.0,9.0,44.5
2009-07-01,52.5,47.0,44.0,9.0,44.5
2009-06-24,52.5,47.0,44.0,9.0,44.5
2009-06-17,52.5,47.0,44.0,9.0,44.5
2009-06-10,49.5,46.0,43.0,9.0,44.0
2009-06-03,47.5,44.0,43.0,9.0,41.0
2009-05-26,47.5,44.0,43.0,9.0,41.0
2009-05-19,47.5,44.0,43.0,9.0,41.0
2009-05-12,46.5,44.5,45.0,9.0,41.0
2009-05-05,46.5,44.5,49.0,9.0,41.0
2009-04-29,66.1,44.5,49.0,9.0,41.0
2009-04-22,66.1,44.5,49.0,9.0,41.0
2009-04-15,66.1,44.5,49.0,9.0,41.0
2009-04-08,65.1,44.5,49.0,9.1,41.0
2009-04-01,65.1,49.5,49.0,9.6,41.0
2009-03-24,65.1,54.5,50.0,11.1,41.0
2009-03-17,65.1,54.5,50.0,11.1,41.0
2009-03-09,65.1,58.5,50.0,13.1,72.0
2009-03-03,68.1,58.5,50.0,13.1,72.0
2009-02-27,68.0,59.0,50.0,13.0,71.5
2009-02-20,68.35,60.0,54.0,13.0,71.5
2009-02-13,68.35,60.0,54.0,13.0,71.5
2009-02-06,68.35,65.0,54.0,13.0,71.5
2009-01-27,68.35,65.0,54.0,13.0,71.5
2009-01-20,69.35,65.0,56.0,13.0,71.5
2009-01-13,69.35,65.0,56.0,13.0,73.5
2009-01-06,69.35,69.0,56.0,13.25,73.5
2008-12-30,69.35,69.0,61.0,13.25,73.5
2008-12-23,74.35,75.0,63.0,13.5,73.5
2008-12-16,80.35,77.0,66.0,13.5,73.5
2008-12-09,85.35,87.0,78.0,13.5,73.5
2008-12-02,90.35,103.0,78.0,13.5,73.5
2008-11-19,97.85,102.0,79.0,12.7,72.0
2008-11-12,102.85,102.0,80.0,12.7,72.0
2008-11-05,111.0,102.0,84.0,13.7,72.0
2008-10-28,111.0,112.0,84.0,13.7,71.0
2008-10-21,111.0,114.0,84.0,13.7,69.0
2008-10-14,121.0,123.0,84.0,13.7,66.0
2008-10-07,121.0,123.0,84.0,13.7,66.0
2008-10-01,121.0,133.0,84.0,13.7,60.9
2008-09-24,126.0,143.0,84.0,14.25,60.9
2008-09-17,132.0,143.0,84.0,14.25,60.9
2008-09-10,132.0,143.0,84.0,14.25,60.9
2008-09-03,134.0,143.0,84.0,14.25,60.9
2008-08-26,133.5,145.5,84.0,11.5,60.75
2008-08-19,135.5,140.5,84.0,11.0,60.75
2008-08-12,135.5,140.5,84.0,11.0,60.75
2008-08-05,135.5,143.5,84.0,11.0,61.75
2008-07-29,137.5,143.5,92.0,11.2,61.75
2008-07-22,137.5,142.5,90.0,12.65,61.75
2008-07-15,137.5,142.5,90.0,12.65,61.75
2008-07-08,137.5,142.5,70.5,12.65,60.75
2008-07-01,137.5,142.5,70.5,12.65,60.75
2008-06-25,135.5,132.5,69.5,13.65,54.75
2008-06-18,135.5,132.5,69.5,13.65,54.75
2008-06-11,127.5,122.5,64.5,13.65,51.75
2008-05-27,127.5,122.5,64.25,13.5,51.5
2008-05-20,117.5,108.0,64.25,13.5,51.5
2008-05-13,117.5,105.0,63.25,13.5,43.5
2008-05-06,116.5,105.0,61.25,14.25,43.5
