Market Day,Central ActualLoad (MWh),Central MTLF (MWh),East ActualLoad (MWh),East MTLF (MWh),MISO ActualLoad (MWh),MISO ISO MTLF (MWh),MISO MTLF (MWh),Midwest ISO ActualLoad (MWh),Midwest ISO MTLF (MWh),North ActualLoad (MWh),North MTLF (MWh),South ActualLoad (MWh),South MTLF (MWh),West ActualLoad (MWh),West MTLF (MWh)
01/25/2011,25438.5479167,25580.625,31204.1491667,31834.5416667,,,,74540.57875,75556.5416667,,,,,17897.8816667,18141.375
01/26/2011,25906.28625,25841.5,31106.78125,31784.9583333,,,,74902.6608333,75615.4583333,,,,,17889.5933333,17989.0
01/27/2011,25815.1220833,25755.6666667,31075.7558333,31578.4583333,,,,74493.8029167,74970.125,,,,,17602.925,17636.0
01/28/2011,24820.4445833,25124.125,30399.7708333,30768.9583333,,,,72575.4058333,73154.9583333,,,,,17355.1904167,17261.875
01/29/2011,22693.2675,22811.3333333,27697.4470833,28060.2916667,,,,66717.9233333,67034.0416667,,,,,16327.20875,16162.4166667
01/30/2011,22292.2720833,22783.375,26597.7566667,27706.75,,,,65440.995,67024.0,,,,,16550.96625,16533.875
01/31/2011,25807.86,25281.6666667,31572.1029167,31634.7916667,,,,75637.33375,74961.0,,,,,18257.3708333,18044.5416667
02/01/2011,25879.8745833,25568.9583333,31817.6941667,31872.4166667,,,,76447.8904167,75997.2083333,,,,,18750.3216667,18555.8333333
02/02/2011,26082.3595833,26536.4583333,29766.3970833,31985.875,,,,74566.5545833,77466.2083333,,,,,18717.7979167,18943.875
02/03/2011,27257.5708333,27059.75,31363.4308333,31483.625,,,,77282.4329167,77032.3333333,,,,,18661.43125,18488.9583333
02/04/2011,26540.0758333,26380.2916667,30995.7441667,31462.625,,,,75134.0541667,75422.8333333,,,,,17598.2341667,17579.9166667
02/05/2011,24052.2595833,24015.2083333,28208.7554167,27915.6666667,,,,68395.7508333,67881.5416667,,,,,16134.7358333,15950.6666667
02/06/2011,22658.565,23128.2916667,26425.495,27304.75,,,,64752.3833333,66255.4583333,,,,,15668.3233333,15822.4166667
02/07/2011,24941.1041667,25093.1666667,29954.7333333,30736.125,,,,73016.5041667,73656.9166667,,,,,18120.6666667,17827.625
02/08/2011,27256.2920833,27132.4166667,31658.0216667,32040.5,,,,78171.67875,78061.7916667,,,,,19257.365,18888.875
02/09/2011,28679.6891667,27679.2916667,32620.6691667,32708.7083333,,,,80402.39875,79451.4583333,,,,,19102.0404167,19063.4583333
02/10/2011,28348.78,28380.0,32808.8366667,33256.6666667,,,,80057.3804167,80707.7083333,,,,,18899.76375,19071.0416667
02/11/2011,26215.31375,26854.875,31948.3633333,32092.5,,,,76122.5004167,76787.875,,,,,17958.8233333,17840.5
02/12/2011,22626.5116667,23585.4583333,27815.31875,28284.625,,,,66253.0808333,67759.8333333,,,,,15811.2504167,15889.75
02/13/2011,20771.2758333,21605.0416667,25747.6375,26127.4583333,,,,61425.4379167,62918.6666667,,,,,14906.5245833,15186.1666667
02/14/2011,22522.2591667,23356.2083333,29416.60125,29595.0833333,,,,68280.37625,69523.2916667,,,,,16341.5158333,16572.0
02/15/2011,23515.2091667,23093.5416667,30315.8829167,30561.7916667,,,,70344.18875,70290.4583333,,,,,16513.0966667,16635.125
02/16/2011,21850.7670833,22284.5833333,29313.7504167,29843.625,,,,67469.3725,68542.625,,,,,16304.855,16414.4166667
02/17/2011,20825.12125,21104.9583333,28664.91875,29148.4583333,,,,65872.2075,66474.3333333,,,,,16382.1675,16220.9166667
02/18/2011,20347.6666667,20453.5416667,27874.1979167,28367.7083333,,,,64961.3091667,65453.2083333,,,,,16739.4445833,16631.9583333
02/19/2011,20486.27375,20420.0833333,26627.5379167,26393.4583333,,,,63003.2033333,62702.7916667,,,,,15889.3916667,15889.25
02/20/2011,20074.6258333,20002.2916667,26529.1016667,26278.25,,,,62449.37625,61847.1666667,,,,,15845.64875,15566.625
02/21/2011,21715.9483333,21241.2083333,30121.9166667,30539.5416667,,,,69023.89,69475.7083333,,,,,17186.025,17694.9583333
02/22/2011,24291.9704167,23206.2083333,30613.21125,31165.2083333,,,,72427.2191667,71703.75,,,,,17522.0375,17332.3333333
02/23/2011,24232.1133333,23259.0,30773.23,30744.5,,,,72204.5304167,71252.1666667,,,,,17199.1870833,17248.6666667
02/24/2011,23627.96,22861.625,30080.65,30457.5,,,,71263.3170833,70954.5,,,,,17554.7070833,17635.375
02/25/2011,24220.9429167,23934.5,29771.9041667,30333.9583333,,,,71822.8466667,72024.1666667,,,,,17829.9995833,17755.7083333
02/26/2011,22400.1204167,22086.2083333,27379.6391667,27869.8333333,,,,66850.96,66690.0,,,,,17071.2004167,16733.9583333
02/27/2011,20346.1970833,20351.0416667,25726.645,26266.75,,,,62189.5958333,62785.7083333,,,,,16116.75375,16167.9166667
02/28/2011,22302.66375,22113.5833333,29374.03875,29496.2083333,,,,69068.7329167,68982.75,,,,,17392.0304167,17372.9583333
