date,windGenerationMWh
2009-06-08,1332.74958333
2009-06-09,314.460416667
2009-06-10,485.644583333
2009-06-11,460.67875
2009-06-12,402.9625
2009-06-13,234.3325
2009-06-14,469.884583333
2009-06-15,1188.16458333
2009-06-16,1078.96458333
2009-06-17,466.883333333
2009-06-18,1002.165
2009-06-19,966.840416667
2009-06-20,609.13125
2009-06-21,1166.07291667
2009-06-22,434.887083333
2009-06-23,687.886666667
2009-06-24,492.351666667
2009-06-25,347.094583333
2009-06-26,946.415416667
2009-06-27,2418.5125
2009-06-28,2905.65166667
2009-06-29,2292.04958333
2009-06-30,2002.4475
2009-07-01,824.3725
2009-07-02,270.756666667
2009-07-03,299.581666667
2009-07-04,242.072916667
2009-07-05,233.424583333
2009-07-06,325.927083333
2009-07-07,511.05625
2009-07-08,728.637083333
2009-07-09,1716.77333333
2009-07-10,837.547916667
2009-07-11,674.837083333
2009-07-12,495.702916667
2009-07-13,638.280416667
2009-07-14,2185.01916667
2009-07-15,2541.58291667
2009-07-16,1999.69916667
2009-07-17,2129.30333333
2009-07-18,641.353333333
2009-07-19,527.400833333
2009-07-20,1442.18916667
2009-07-21,595.350833333
2009-07-22,130.42125
2009-07-23,385.625416667
2009-07-24,1646.54541667
2009-07-25,1737.92958333
2009-07-26,746.902916667
2009-07-27,1408.99083333
2009-07-28,1045.49208333
2009-07-29,306.209166667
2009-07-30,608.681666667
2009-07-31,1159.84041667
2009-08-01,1698.07666667
2009-08-02,1568.92416667
2009-08-03,1273.9625
2009-08-04,725.621666667
2009-08-05,247.30125
2009-08-06,292.92125
2009-08-07,1592.65708333
2009-08-08,1408.37083333
2009-08-09,693.61875
2009-08-10,254.144583333
2009-08-11,290.769583333
2009-08-12,740.057083333
2009-08-13,1037.19375
2009-08-14,2135.98958333
2009-08-15,1741.88125
2009-08-16,1825.23833333
2009-08-17,1069.16916667
2009-08-18,942.680416667
2009-08-19,1447.56083333
2009-08-20,2128.00958333
2009-08-21,2190.95375
2009-08-22,559.071666667
2009-08-23,986.46625
2009-08-24,2218.8875
2009-08-25,1047.24166667
2009-08-26,918.640833333
2009-08-27,613.20875
2009-08-28,761.53625
2009-08-29,1535.87083333
2009-08-30,373.630416667
2009-08-31,541.489583333
2009-09-01,1602.00625
2009-09-02,1698.36125
2009-09-03,623.844166667
2009-09-04,635.75125
2009-09-05,1082.08583333
2009-09-06,1130.93708333
2009-09-07,1761.22708333
2009-09-08,2161.71583333
2009-09-09,813.94375
2009-09-10,788.66125
2009-09-11,891.479583333
